Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
3,7,7,M,1,0,4.25,1340,Arts & Letters,Yes,No,
6,1,2,F,0,0,3.36,1090,Arts & Letters,No,No,
9,7,6,F,1,0,3.41,1230,Arts & Letters,No,No,
10,6,6,M,0,1,3.75,1510,Arts & Letters,Yes,No,
11,7,7,M,1,0,2.62,1330,Arts & Letters,No,No,
12,7,7,M,1,0,2.46,1170,Arts & Letters,No,No,
17,7,7,M,0,0,3.72,1270,Arts & Letters,No,No,
19,6,6,F,0,0,3.11,930,Arts & Letters,No,No,
25,4,7,M,0,0,3.6,1040,Arts & Letters,No,No,
26,5,5,F,1,0,3.88,1220,Arts & Letters,No,No,
27,6,7,F,0,1,4.05,1360,Arts & Letters,Yes,No,
31,4,7,M,1,0,3.2,1480,Arts & Letters,No,No,
32,3,6,F,1,0,3.37,930,Arts & Letters,No,No,
37,2,1,F,0,1,4.09,1210,Arts & Letters,No,No,
38,6,6,F,0,0,4.32,1300,Arts & Letters,Yes,No,
41,6,4,F,1,0,4.27,1150,Arts & Letters,Yes,No,
43,7,7,M,1,0,4,1250,Arts & Letters,Yes,No,
45,7,7,M,1,0,3.29,1250,Arts & Letters,No,No,
54,6,4,F,0,0,3.69,1190,Arts & Letters,Yes,No,
57,4,4,M,0,0,4.18,1350,Arts & Letters,No,No,
68,7,4,F,1,0,3.59,1170,Arts & Letters,No,No,
71,7,7,F,1,0,3.56,1280,Arts & Letters,Yes,Yes,2.564
75,7,7,F,1,0,3.86,1350,Arts & Letters,Yes,No,
77,7,7,M,0,1,3.15,1370,Arts & Letters,No,No,
79,6,6,M,1,0,3.2,1400,Arts & Letters,No,No,
82,6,6,F,1,0,3.83,1250,Arts & Letters,Yes,No,
83,6,6,F,1,0,4.05,1300,Arts & Letters,Yes,No,
84,7,6,F,1,0,3.67,1170,Arts & Letters,No,No,
86,7,7,F,0,0,3.36,1130,Arts & Letters,Yes,Yes,3.058
101,6,6,F,1,0,4.33,1450,Arts & Letters,Yes,No,
104,6,7,F,1,0,4.04,1270,Arts & Letters,Yes,No,
105,6,6,M,0,1,2.6,1410,Arts & Letters,No,No,
107,4,5,F,0,1,3.86,1230,Arts & Letters,No,No,
108,6,6,F,1,0,3.38,970,Arts & Letters,No,No,
109,3,3,F,0,0,3.6,1040,Arts & Letters,No,No,
111,5,5,M,1,0,2.89,1490,Arts & Letters,No,No,
113,7,7,M,1,0,4,1130,Arts & Letters,No,No,
115,7,7,F,0,0,4.2,1230,Arts & Letters,No,Yes,3.116
116,7,7,M,1,0,3.46,1230,Arts & Letters,No,No,
119,6,6,F,1,0,3.83,1240,Arts & Letters,Yes,Yes,3.926
122,1,2,F,0,0,3.29,880,Arts & Letters,No,No,
125,7,7,M,1,0,3.95,1300,Arts & Letters,No,Yes,3.277
126,6,1,F,0,0,3.05,920,Arts & Letters,No,No,
130,1,1,F,0,0,3.86,850,Arts & Letters,No,No,
136,6,7,F,0,0,3.87,1170,Arts & Letters,Yes,Yes,2.733
139,7,7,F,1,0,3.7,1220,Arts & Letters,No,No,
142,7,7,M,1,0,3.25,1160,Arts & Letters,No,No,
144,7,7,M,1,0,3.92,1200,Arts & Letters,Yes,No,
145,6,6,M,1,0,3.03,1190,Arts & Letters,No,No,
146,4,4,F,0,0,2.79,940,Arts & Letters,No,No,
150,6,6,F,0,0,3.36,1240,Arts & Letters,No,No,
151,7,7,M,1,0,0,1120,Arts & Letters,No,No,
153,7,6,F,1,0,3.8,1270,Arts & Letters,No,No,
